study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
8.9,59,74,3,8.3,0,79.15
1.4,73,90,3,8.6,0,72.47
7.0,72,89,9,8.9,0,97.76
3.1,60,91,5,8.5,0,71.64
9.3,100,66,6,6.1,0,88.33
1.3,80,54,6,8.3,1,64.1
8.4,64,54,3,7.6,1,72.08
8.8,99,57,8,7.6,1,93.9
8.6,71,41,4,8.5,1,71.14
9.7,66,42,4,7.4,1,76.84
3.8,88,72,4,6.5,0,70.0
7.4,50,73,6,6.5,0,79.79
9.3,89,60,4,7.9,1,86.42
7.0,70,65,7,7.2,0,78.25
9.5,93,87,5,7.5,1,97.26
8.5,69,58,6,6.7,1,79.5
5.0,63,72,10,8.2,0,82.34
3.6,92,80,8,5.4,0,81.83
3.0,62,49,3,5.2,1,55.56
7.9,79,66,6,7.9,1,85.39
3.2,91,84,3,8.6,0,80.33
3.0,94,73,10,5.2,0,83.52
2.1,58,91,10,7.7,1,84.65
9.0,89,92,9,8.3,1,100.0
7.7,80,68,7,8.0,1,90.21
5.7,90,55,7,6.8,1,76.04
4.0,84,45,5,5.6,1,66.59
7.4,54,66,9,6.3,1,79.21
2.9,76,64,3,8.4,1,67.52
9.5,69,88,9,8.4,1,100.0
7.6,88,54,10,5.9,1,85.61
4.5,92,83,9,7.9,1,94.85
9.8,84,41,9,7.4,0,80.29
4.9,79,51,3,6.0,1,62.47
3.9,98,64,7,8.0,1,78.67
1.7,51,87,3,9.0,1,64.69
1.6,91,42,3,8.8,0,62.54
6.6,65,48,10,7.7,0,75.75
3.3,73,50,4,8.1,0,66.8
2.0,51,59,9,6.6,0,57.56
7.2,90,55,4,7.8,1,82.95
6.4,57,90,3,6.4,1,79.47
1.6,91,61,3,8.4,1,63.26
9.6,90,93,10,7.8,1,100.0
5.7,91,57,10,6.9,1,82.52
3.2,55,57,10,6.0,1,68.4
7.0,71,41,10,8.4,0,77.08
4.2,66,61,7,8.5,1,74.16
5.6,62,45,6,7.9,1,68.65
3.2,80,81,10,6.8,0,77.48
3.0,94,55,7,7.7,1,74.03
5.8,77,87,8,6.4,1,85.51
3.3,57,86,6,6.3,0,67.97
7.6,67,86,7,8.9,0,87.66
4.2,69,40,5,6.1,0,58.93
7.3,58,80,10,5.4,0,84.59
5.2,78,61,5,8.9,1,81.11
5.3,54,65,10,5.3,0,68.97
8.3,69,45,6,5.5,1,74.06
8.1,64,89,9,6.8,1,91.07
6.3,77,59,3,7.4,0,75.73
2.9,63,56,4,5.6,0,57.52
2.4,76,68,10,6.2,0,70.98
3.5,79,44,6,8.7,0,65.2
5.9,91,49,7,8.3,0,73.2
8.1,88,87,7,6.8,1,97.29
7.3,67,72,10,6.8,0,89.29
7.6,88,56,3,5.4,0,78.2
7.1,67,76,3,8.1,0,77.46
6.9,67,51,9,7.5,1,83.29
5.2,76,61,8,7.7,0,75.2
7.2,68,82,9,8.3,0,89.2
3.8,70,47,9,8.5,0,71.28
5.9,76,43,6,7.1,1,71.7
7.8,63,57,5,8.7,1,81.56
5.4,51,80,6,7.8,1,77.46
6.0,55,54,4,6.8,0,65.33
2.4,95,58,7,6.7,1,77.4
3.2,85,49,9,5.8,0,72.24
3.5,100,94,9,6.4,1,94.96
3.5,69,93,10,8.5,1,88.69
4.1,85,88,9,6.8,1,91.7
9.8,65,76,9,5.9,1,87.14
7.7,95,91,9,6.5,0,98.05
1.3,82,77,8,8.5,1,73.45
9.2,50,86,5,6.6,0,78.75
8.0,66,61,9,7.6,1,88.27
8.7,74,60,10,8.5,0,90.17
3.1,93,58,6,8.0,1,79.08
7.8,95,95,4,6.8,1,98.73
1.4,100,43,7,6.4,1,62.11
5.8,86,83,5,5.7,0,82.19
4.4,93,55,10,8.7,0,78.87
6.7,79,56,3,8.6,1,79.51
7.1,60,44,10,8.8,1,79.74
4.8,66,69,7,5.8,1,77.38
2.0,74,76,8,7.3,1,70.27
8.5,75,57,3,7.3,0,79.51
7.7,68,89,6,7.4,1,86.69
2.7,66,83,5,7.5,0,69.14
5.0,87,63,5,5.4,1,72.17
4.7,62,48,8,7.1,1,72.0
3.3,80,91,7,8.0,1,87.64
5.2,54,49,6,8.4,1,71.92
8.2,73,45,9,5.1,0,75.2
7.1,93,56,9,8.3,1,84.63
3.1,51,79,8,8.7,0,74.68
6.7,79,84,7,7.6,0,84.2
9.5,69,71,4,5.4,0,78.84
4.3,97,84,9,7.3,0,92.7
6.9,81,79,9,8.8,1,89.18
4.3,78,68,6,8.4,0,80.46
4.3,91,62,3,6.6,0,74.28
9.5,79,45,6,7.6,0,75.16
4.0,58,90,6,5.3,0,73.81
8.3,64,61,5,8.2,0,75.67
9.9,58,74,7,8.2,0,89.56
1.2,50,62,6,7.4,0,54.04
1.5,97,66,4,8.0,1,70.58
4.3,87,46,10,7.0,0,76.37
9.2,92,73,7,6.8,0,87.86
5.3,75,67,4,7.0,1,69.68
1.7,88,49,4,5.5,1,58.46
6.4,68,69,9,5.4,0,82.28
6.9,99,75,6,6.7,0,86.44
8.4,75,66,4,6.3,1,81.95
4.4,59,83,10,5.3,0,73.68
1.9,97,63,5,7.2,1,73.05
4.7,92,88,9,8.5,0,96.48
6.4,72,46,6,5.6,1,66.74
2.0,85,63,4,8.1,0,69.52
8.6,99,92,3,7.4,1,91.34
3.5,98,59,8,6.4,0,79.2
6.1,75,44,5,8.0,0,64.82
5.8,74,66,10,6.4,1,80.82
3.9,86,78,4,8.5,0,73.87
6.6,93,45,7,6.8,1,78.06
5.0,67,53,4,6.4,0,61.23
7.1,81,73,7,5.2,1,88.69
1.5,63,59,6,8.1,1,61.19
2.1,81,87,9,5.7,1,80.33
3.1,85,93,8,5.3,0,80.86
5.1,54,95,8,7.3,1,86.54
4.8,57,65,3,8.9,0,69.86
6.6,94,63,4,6.7,0,75.53
6.3,83,45,9,8.5,1,77.72
8.0,54,72,4,7.1,0,79.41
4.1,96,92,5,5.9,0,80.36
2.6,59,88,4,5.7,1,68.24
6.1,87,68,8,8.5,1,84.06
1.6,78,80,7,8.2,0,72.82
1.7,79,68,3,5.2,1,57.87
